time,decibel
2026-07-28T00:00:00.211,42.4
2026-07-28T00:00:00.614,42.3
2026-07-28T00:00:01.017,42.6
2026-07-28T00:00:01.420,42.4
2026-07-28T00:00:01.823,42.8
2026-07-28T00:00:02.226,42.5
2026-07-28T00:00:02.629,42.3
2026-07-28T00:00:03.032,42.8
2026-07-28T00:00:03.435,42.4
2026-07-28T00:00:03.838,42.7
2026-07-28T00:00:04.241,42.6
2026-07-28T00:00:04.644,42.4
2026-07-28T00:00:05.048,42.6
2026-07-28T00:00:05.451,42.1
2026-07-28T00:00:05.854,42.9
2026-07-28T00:00:06.257,42.8
2026-07-28T00:00:06.660,42.4
2026-07-28T00:00:07.063,42.5
2026-07-28T00:00:07.466,42.3
2026-07-28T00:00:07.869,42.9
2026-07-28T00:00:08.272,42.5
2026-07-28T00:00:08.675,42.2
2026-07-28T00:00:09.078,42.7
2026-07-28T00:00:09.481,42.2
2026-07-28T00:00:09.884,42.6
2026-07-28T00:00:10.287,42.7
2026-07-28T00:00:10.690,42.3
2026-07-28T00:00:11.093,42.9
2026-07-28T00:00:11.497,42.4
2026-07-28T00:00:11.900,42.8
2026-07-28T00:00:12.303,43.0
2026-07-28T00:00:12.707,42.7
2026-07-28T00:00:13.109,42.9
2026-07-28T00:00:13.512,42.8
2026-07-28T00:00:13.915,42.8
2026-07-28T00:00:14.318,43.1
2026-07-28T00:00:14.721,42.8
2026-07-28T00:00:15.124,42.9
2026-07-28T00:00:15.527,42.5
2026-07-28T00:00:15.931,42.4
2026-07-28T00:00:16.333,42.7
2026-07-28T00:00:16.736,42.3
2026-07-28T00:00:17.139,42.5
2026-07-28T00:00:17.543,42.5
2026-07-28T00:00:17.946,42.3
2026-07-28T00:00:18.349,42.6
2026-07-28T00:00:18.752,42.2
2026-07-28T00:00:19.155,42.6
2026-07-28T00:00:19.558,42.3
2026-07-28T00:00:19.961,42.5
2026-07-28T00:00:20.364,42.4
2026-07-28T00:00:20.767,41.9
2026-07-28T00:00:21.170,42.4
2026-07-28T00:00:21.573,42.2
2026-07-28T00:00:21.976,41.9
2026-07-28T00:00:22.379,42.2
2026-07-28T00:00:22.782,42.0
2026-07-28T00:00:23.185,42.2
2026-07-28T00:00:23.588,42.2
2026-07-28T00:00:23.991,41.7
2026-07-28T00:00:24.394,42.1
2026-07-28T00:00:24.797,41.8
2026-07-28T00:00:25.200,42.3
2026-07-28T00:00:25.603,42.6
2026-07-28T00:00:26.006,42.2
2026-07-28T00:00:26.409,42.4
2026-07-28T00:00:26.812,41.9
2026-07-28T00:00:27.215,42.1
2026-07-28T00:00:27.618,42.1
2026-07-28T00:00:28.021,41.9
2026-07-28T00:00:28.425,42.3
2026-07-28T00:00:28.828,42.0
2026-07-28T00:00:29.231,42.2
2026-07-28T00:00:29.634,42.3
2026-07-28T00:00:30.037,42.1
2026-07-28T00:00:30.440,42.4
2026-07-28T00:00:30.843,42.2
2026-07-28T00:00:31.246,42.1
2026-07-28T00:00:31.649,42.5
2026-07-28T00:00:32.052,42.0
2026-07-28T00:00:32.455,42.3
2026-07-28T00:00:32.858,42.0
2026-07-28T00:00:33.261,42.0
2026-07-28T00:00:33.664,42.3
2026-07-28T00:00:34.067,42.1
2026-07-28T00:00:34.470,42.5
2026-07-28T00:00:34.873,42.2
2026-07-28T00:00:35.276,41.8
2026-07-28T00:00:35.679,42.6
2026-07-28T00:00:36.083,42.4
2026-07-28T00:00:36.486,42.1
2026-07-28T00:00:36.889,42.1
2026-07-28T00:00:37.292,41.6
2026-07-28T00:00:37.695,42.4
2026-07-28T00:00:38.098,41.9
2026-07-28T00:00:38.501,42.2
2026-07-28T00:00:38.904,42.2
2026-07-28T00:00:39.307,42.0
2026-07-28T00:00:39.710,42.7
2026-07-28T00:00:40.113,42.6
2026-07-28T00:00:40.516,42.4
2026-07-28T00:00:40.919,42.7
2026-07-28T00:00:41.322,42.3
2026-07-28T00:00:41.725,42.6
2026-07-28T00:00:42.128,42.4
2026-07-28T00:00:42.531,42.4
2026-07-28T00:00:42.934,42.8
2026-07-28T00:00:43.337,42.5
2026-07-28T00:00:43.741,42.8
2026-07-28T00:00:44.144,42.6
2026-07-28T00:00:44.547,42.2
2026-07-28T00:00:44.950,42.6
2026-07-28T00:00:45.353,42.3
2026-07-28T00:00:45.756,42.7
2026-07-28T00:00:46.159,42.4
2026-07-28T00:00:46.562,42.6
2026-07-28T00:00:46.965,42.8
2026-07-28T00:00:47.368,42.5
2026-07-28T00:00:47.771,42.4
2026-07-28T00:00:48.174,41.9
2026-07-28T00:00:48.577,41.8
2026-07-28T00:00:48.980,42.3
2026-07-28T00:00:49.383,42.0
2026-07-28T00:00:49.786,42.4
2026-07-28T00:00:50.189,42.2
2026-07-28T00:00:50.592,41.9
2026-07-28T00:00:50.995,42.5
2026-07-28T00:00:51.399,42.3
2026-07-28T00:00:51.802,42.0
2026-07-28T00:00:52.205,42.1
2026-07-28T00:00:52.608,41.7
2026-07-28T00:00:53.011,42.2
2026-07-28T00:00:53.414,42.8
2026-07-28T00:00:53.817,42.7
2026-07-28T00:00:54.220,42.4
2026-07-28T00:00:54.623,42.1
2026-07-28T00:00:55.026,42.2
2026-07-28T00:00:55.429,41.9
2026-07-28T00:00:55.832,42.5
2026-07-28T00:00:56.235,42.6
2026-07-28T00:00:56.638,42.2
2026-07-28T00:00:57.041,42.2
2026-07-28T00:00:57.444,41.9
2026-07-28T00:00:57.848,42.1
2026-07-28T00:00:58.251,42.5
2026-07-28T00:00:58.654,42.2
2026-07-28T00:00:59.057,42.4
2026-07-28T00:00:59.460,42.0
2026-07-28T00:00:59.863,42.4
2026-07-28T00:01:00.266,42.6
2026-07-28T00:01:00.669,42.2
2026-07-28T00:01:01.072,42.9
2026-07-28T00:01:01.475,42.4
2026-07-28T00:01:01.878,42.3
2026-07-28T00:01:02.281,42.6
2026-07-28T00:01:02.684,42.1
2026-07-28T00:01:03.087,42.6
2026-07-28T00:01:03.490,42.7
2026-07-28T00:01:03.893,42.6
2026-07-28T00:01:04.296,42.8
2026-07-28T00:01:04.700,42.5
2026-07-28T00:01:05.103,42.9
2026-07-28T00:01:05.506,42.6
2026-07-28T00:01:05.909,42.3
2026-07-28T00:01:06.312,43.2
2026-07-28T00:01:06.715,42.8
2026-07-28T00:01:07.118,42.5
2026-07-28T00:01:07.521,42.6
2026-07-28T00:01:07.924,42.2
2026-07-28T00:01:08.327,42.9
2026-07-28T00:01:08.730,42.7
2026-07-28T00:01:09.133,42.9
2026-07-28T00:01:09.536,42.6
2026-07-28T00:01:09.939,42.3
2026-07-28T00:01:10.342,42.9
2026-07-28T00:01:10.745,42.4
2026-07-28T00:01:11.148,42.3
2026-07-28T00:01:11.551,42.8
2026-07-28T00:01:11.954,42.4
2026-07-28T00:01:12.357,42.5
2026-07-28T00:01:12.760,42.3
2026-07-28T00:01:13.163,42.4
2026-07-28T00:01:13.566,42.8
2026-07-28T00:01:13.969,42.2
2026-07-28T00:01:14.372,42.6
2026-07-28T00:01:14.775,42.5
2026-07-28T00:01:15.178,42.0
2026-07-28T00:01:15.582,42.1
2026-07-28T00:01:15.985,41.9
2026-07-28T00:01:16.388,42.5
2026-07-28T00:01:16.791,42.2
2026-07-28T00:01:17.194,42.0
2026-07-28T00:01:17.597,42.4
2026-07-28T00:01:18.000,43.3
2026-07-28T00:01:18.403,42.9
2026-07-28T00:01:18.806,42.6
2026-07-28T00:01:19.209,42.1
2026-07-28T00:01:19.612,42.9
2026-07-28T00:01:20.015,42.5
2026-07-28T00:01:20.418,42.7
2026-07-28T00:01:20.821,42.3
2026-07-28T00:01:21.224,41.9
2026-07-28T00:01:21.627,42.4
2026-07-28T00:01:22.030,42.1
2026-07-28T00:01:22.433,42.5
2026-07-28T00:01:22.836,42.5
2026-07-28T00:01:23.239,42.1
2026-07-28T00:01:23.642,42.5
2026-07-28T00:01:24.045,42.2
2026-07-28T00:01:24.448,42.4
2026-07-28T00:01:24.851,42.6
2026-07-28T00:01:25.254,42.2
2026-07-28T00:01:25.657,42.4
2026-07-28T00:01:26.060,42.1
2026-07-28T00:01:26.463,41.8
2026-07-28T00:01:26.867,42.2
2026-07-28T00:01:27.270,41.8
2026-07-28T00:01:27.673,42.2
2026-07-28T00:01:28.076,41.8
2026-07-28T00:01:28.479,41.9
2026-07-28T00:01:28.882,42.3
2026-07-28T00:01:29.285,41.7
2026-07-28T00:01:29.688,42.3
2026-07-28T00:01:30.091,42.2
2026-07-28T00:01:30.494,41.8
2026-07-28T00:01:30.897,41.9
2026-07-28T00:01:31.300,41.4
2026-07-28T00:01:31.703,42.0
2026-07-28T00:01:32.106,41.6
2026-07-28T00:01:32.509,41.6
2026-07-28T00:01:32.912,42.3
2026-07-28T00:01:33.315,41.9
2026-07-28T00:01:33.719,42.0
2026-07-28T00:01:34.121,41.9
2026-07-28T00:01:34.524,41.6
2026-07-28T00:01:34.927,42.2
2026-07-28T00:01:35.330,41.9
2026-07-28T00:01:35.733,41.8
2026-07-28T00:01:36.136,42.1
2026-07-28T00:01:36.539,41.9
2026-07-28T00:01:36.942,42.1
2026-07-28T00:01:37.345,41.9
2026-07-28T00:01:37.748,42.2
2026-07-28T00:01:38.151,42.3
2026-07-28T00:01:38.554,41.9
